"JIAO LIU DU",5,1446,103.64
0,1.1,0,19
0,104.98,.048
5,102.12,.048
27,101.9,.048
37,99,.048
54,98.26,.048
84,99,.048
98,101.49,.048
200,100.56,.048
210,99.13,.048
217,98.53,.048
231,98.53,.048
238,98.53,.048
261,97.93,.048
288,97.73,.048
296,97.93,.048
303,99,.048
308,102.03,.048
370,101.73,.048
380,105.05,.048
430,1.1,0,18
0,103.64,.048
0,101.32,.048
4,100.37,.048
14,100,.048
38,99,.048
66,98.48,.048
74,98.48,.048
82,98.38,.048
90,97.98,.048
100,97.78,.048
110,97.68,.048
120,98.18,.048
133,97.98,.048
141,97.88,.048
152,98.08,.048
162,101.63,.048
191,102.06,.048
197,105.04,.048
500,1.1,0,18
0,103.64,.048
0,101.46,.048
4,100.81,.048
10,100,.048
30,99,.048
41,98.52,.048
52,98.32,.048
62,98.02,.048
73,97.52,.048
85,97.12,.048
96,97.12,.048
105,97.42,.048
114,97.82,.048
124,98.32,.048
128,99.1,.048
134,101.82,.048
180,101.27,.048
191,104.81,.048
650,1.1,0,18
0,103.64,.03
0,100.35,.03
10,100,.03
34,99,.03
54,98.63,.03
63,98.23,.03
72,98.13,.03
82,97.63,.03
93,97.73,.03
102,97.73,.03
111,97.53,.03
121,97.83,.03
133,97.93,.03
141,98.43,.03
145,98.93,.03
153,100,.03
161,101.65,.03
166,104.75,.03
804,1.1,0,17
0,103.9,.03
0,102.33,.03
9,100,.03
30,98.04,.03
40,97.44,.03
45,97.64,.03
53,98.14,.03
62,98.34,.03
70,98.24,.03
78,97.64,.03
86,97.14,.03
98,96.54,.03
110,97.14,.03
113,98.94,.03
120,100,.03
125,102.08,.03
132,105.17,.03

